["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9686371408666666e+014 8.2962145905336054e-004 5.7973578459700159e-001
1.9698862761083331e+014 8.3664295910073391e-004 5.6490723437437707e-001
1.9711354113500000e+014 8.4702992269742455e-004 5.5253485141158765e-001
1.9723845465916666e+014 8.6011301037096778e-004 5.4367489368219601e-001
1.9736336818333331e+014 8.7498844900986720e-004 5.3900981396456737e-001
1.9748828170750000e+014 8.9166505198271201e-004 5.3812284583095882e-001
1.9761319523166666e+014 9.0801050044714521e-004 5.4162412628144230e-001
1.9773810875583331e+014 9.2299008325323281e-004 5.4908636307653280e-001
1.9786302228000000e+014 9.3569419032071897e-004 5.5984912855633295e-001
1.9798793580416666e+014 9.4539310529797888e-004 5.7309235826887528e-001
1.9811284932833331e+014 9.5157509945218615e-004 5.8789752689695562e-001
1.9823776285250000e+014 9.5397018126722405e-004 6.0329612301870594e-001
1.9836267637666666e+014 9.5256152108445552e-004 6.1830910155811147e-001
1.9848758990083331e+014 9.4758564405172843e-004 6.3198284043470876e-001
1.9861250342500000e+014 9.3952135732439123e-004 6.4342748326033206e-001
1.9873741694916666e+014 9.2999971195442937e-004 6.5110534122334773e-001
1.9886233047333331e+014 9.1896049445080942e-004 6.5513045608467835e-001
1.9898724399750000e+014 9.0741777712568150e-004 6.5512909614091241e-001
1.9911215752166666e+014 8.9644114482702395e-004 6.5102995307870659e-001
1.9923707104583331e+014 8.8706687358327792e-004 6.4311652095435801e-001
1.9936198457000000e+014 8.8019979753065601e-004 6.3204431788336024e-001
1.9948689809416666e+014 8.7651826204106806e-004 6.1880314071336973e-001
1.9961181161833331e+014 8.7639870244619162e-004 6.0461624009184245e-001
1.9973672514250000e+014 8.7987592719949157e-004 5.9078883263991633e-001
1.9986163866666666e+014 8.8664862885660305e-004 5.7853851244547516e-001
("port 1","mode 1",1,"port 2",1,"transmission")
(101, 3)
1.8737028625000000e+014 1.0056197960580219e-003 1.5541200274229818e+000
1.8749519977416666e+014 1.0433823237802609e-003 1.9668935493174984e+000
1.8762011329833334e+014 1.0593321755646605e-003 2.3919317606999373e+000
1.8774502682250000e+014 1.0527699158760094e-003 2.8269847224966869e+000
1.8786994034666666e+014 1.0239340395100617e-003 3.2708795836519893e+000
1.8799485387083334e+014 9.7385157237040495e-004 3.7233225046641016e+000
1.8811976739500000e+014 9.0423246637648380e-004 4.1849081523999265e+000
1.8824468091916666e+014 8.1740013726510599e-004 4.6573793891183577e+000
1.8836959444333334e+014 7.1627501490841938e-004 5.1443159621759635e+000
1.8849450796750000e+014 6.0447208183746367e-004 5.6527516788940959e+000
1.8861942149166666e+014 4.8669717455407922e-004 6.1971039301409698e+000
1.8874433501583334e+014 3.7004942603794397e-004 6.8092821977914699e+000
1.8886924854000000e+014 2.6831291854475912e-004 7.5616925165933795e+000
1.8899416206416666e+014 2.1219660259254842e-004 8.5543578590476539e+000
1.8911907558833334e+014 2.3563026693938256e-004 9.6179134887477762e+000
1.8924398911250000e+014 3.1569100768284606e-004 1.0452790124917534e+001
1.8936890263666666e+014 4.1331238774240908e-004 1.1111209370677315e+001
1.8949381616083334e+014 5.1020414619416202e-004 1.1685565596256362e+001
1.8961872968500000e+014 5.9847088963082477e-004 1.2219309214693078e+001
1.8974364320916666e+014 6.7394426550132546e-004 1.2732011852534162e+001
1.8986855673333334e+014 7.3409980621912607e-004 1.3233494822070883e+001
1.8999347025750000e+014 7.7739891286223957e-004 1.3729392720763112e+001
1.9011838378166666e+014 8.0307477249499731e-004 1.4223443167287851e+001
1.9024329730583334e+014 8.1105672989304574e-004 1.4718589680252482e+001
1.9036821083000000e+014 8.0196823207349401e-004 1.5217582476102216e+001
1.9049312435416666e+014 7.7715201673869856e-004 1.5723400927741420e+001
1.9061803787833334e+014 7.3872234079896374e-004 1.6239628242531928e+001
1.9074295140250000e+014 6.8965500107406874e-004 1.6770827926081758e+001
1.9086786492666666e+014 6.3393273572966483e-004 1.7322862263201586e+001
1.9099277845083334e+014 5.7674565448944076e-004 1.7902829180610979e+001
1.9111769197500000e+014 5.2464476889080508e-004 1.8517708911389406e+001
1.9124260549916666e+014 4.8525203625766341e-004 1.9170173419201841e+001
1.9136751902333334e+014 4.6579120881740462e-004 1.9851624842837513e+001
1.9149243254750000e+014 4.7017719885743015e-004 2.0539293855369692e+001
1.9161734607166666e+014 4.9680606222390737e-004 2.1206435088560617e+001
1.9174225959583334e+014 5.3963218438260159e-004 2.1837084044668838e+001
1.9186717312000000e+014 5.9130001810391703e-004 2.2429079103092445e+001
1.9199208664416666e+014 6.4537594172981501e-004 2.2987686527978966e+001
1.9211700016833334e+014 6.9700360619137484e-004 2.3519732774733594e+001
1.9224191369250000e+014 7.4276711935611611e-004 2.4031051226712048e+001
1.9236682721666666e+014 7.8037965305717484e-004 2.4525925149618669e+001
1.9249174074083334e+014 8.0841355204357558e-004 2.5007225863981230e+001
1.9261665426500000e+014 8.2611407386083322e-004 2.5476739674034366e+001
1.9274156778916666e+014 8.3328467543946293e-004 2.5935372489481260e+001
1.9286648131333334e+014 8.3021219810920296e-004 2.6383334016792009e+001
1.9299139483750000e+014 8.1763339684882877e-004 2.6820248760098675e+001
1.9311630836166666e+014 7.9673029875534918e-004 2.7245229528647169e+001
1.9324122188583331e+014 7.6914639062116439e-004 2.7656947010829651e+001
1.9336613541000000e+014 7.3701235274518440e-004 2.8053747487385579e+001
1.9349104893416666e+014 7.0296016806087748e-004 2.8433901364433154e+001
1.9361596245833331e+014 6.7008476420301493e-004 2.8796094264655061e+001
